RAP	MSU	Gramene	Symbol	GO	TO	PO
Na	Na	GR:0060166	WA group cytoplasm,[cms-WA],[CMS-WA],WA型, WA-group cytoplasm,CYTOPLASMIC MALE STERILITY WA	GO:0007275	TO:0000232	PO:0009082,PO:0020048
Na	Na	GR:0060003	Acceleration of heading (ef1),ACCELERATION OF HEADING EF 1, Acef1,Ac ef1, Acceleration of heading (fl21),ACEF1	GO:0003700	TO:0000137	PO:0009049,PO:0025082
Na	Na	GR:0060008	Acid phosphatase3, Acid phosphatase-3,ACID PHOSPHATASE 3, Acid phosphatase 3,Acp3,酸性フォスファターゼ3,ACP3	GO:0003993	Na	Na
Na	Na	GR:0060016	 amylose extender-1, amylose extender 1,高アミロース1,AMYLOSE EXTENDER 1,ae1,amylose extender1,AE1	GO:0000271,GO:0007275	TO:0000587,TO:0000098,TO:0000196,TO:0000487	PO:0009089
Na	Na	GR:0060017	AE2,amylose extender2,AMYLOSE EXTENDER 2, amylose extender 2, amylose extender-2, ae2,高アミロース2,ae2(t)	GO:0000271,GO:0007275	TO:0000196,TO:0000587,TO:0000487,TO:0000098	PO:0009089
Na	Na	GR:0060019	agr1*,AGR1, agr1,AGRAVITROPISM 1, agravitropism 1,agravitropism1, agravitropism-1	GO:0009630,GO:0007275,GO:0009653,GO:0009790	TO:0000419,TO:0000043,TO:0000064	PO:0009005,PO:0025004,PO:0025025,PO:0009009,PO:0000003,PO:0007631,PO:0009025,PO:0025034
Na	Na	GR:0060035	HIGH AMYLOSE,High amylose,Am(t)*,AM,高アミロース, Am	GO:0016051	TO:0000196,TO:0000098	PO:0009089
Na	Na	GR:0060053	Ana*,ANA,Awn development-a,AWN DEVELOPMENT A	GO:0007275	TO:0000146,TO:0000072	PO:0006032,PO:0009010,PO:0025496,PO:0020003,PO:0009009,PO:0009088
Na	Na	GR:0060054	Awn development-b,ANB,Anb*,AWN DEVELOPMENT B	GO:0007275	TO:0000072,TO:0000146	PO:0006032,PO:0009009,PO:0000003,PO:0007631
Na	Na	GR:0060056	 accerelated overgrowth of internode,ao,AO,accerelated overgrowth of internode (Awa-odori),ACCERELATED INTERNODE OVERGROWTH	GO:0007275,GO:0009826	TO:0000152,TO:0000135,TO:0000370,TO:0000089,TO:0000145	PO:0009025,PO:0025034,PO:0009049,PO:0025082,PO:0020142
Na	Na	GR:0060057	apical displacement1, apd1*, apical displacement 1, apical displacement-1,apd1-1,apd1,APD1,APICAL DISPLACEMENT 1	GO:0009790,GO:0009826,GO:0009653,GO:0007275	TO:0000040,TO:0000492,TO:0000064,TO:0000576,TO:0000370	PO:0009009,PO:0000003,PO:0007631,PO:0009025,PO:0025034,PO:0009047,PO:0025029,PO:0009049,PO:0025082
Na	Na	GR:0060062	ASYNAPSIS 1,as, asynapsis 1, asynapsis,AS,アシナプシス不稔1,asynapsis1	GO:0007129	Na	Na
Os09g0422500 	LOC_Os09g25490.1	GR:0060073	 CesA9,鎌いらず6, OsCesA9,Brittle culm6, Cellulose synthase A catalytic subunit 9, OsCesA 9, Bc6, Cellulose synthase A catalytic subunit 9 [UDP-forming],BRITTLE CULM 6,cesa9, Bc6, bc6, Osfc16, bc88,Bc6*, CESA9, OsCESA9, BC88, Brittle culm 6, Brittle culm-6, OS_CESA09,BC6	GO:0016023,GO:0009531,GO:0016021,GO:0005515,GO:0007047,GO:0005886,GO:0008270,GO:0009610,GO:0009808,GO:0009834,GO:0016020,GO:0016760,GO:0030244,GO:0031225,GO:0044403,GO:0010410,GO:0006950,GO:0009642,GO:0048573	TO:0000061,TO:0000051,TO:0000108,TO:0000168,TO:0000011,TO:0000460,TO:0000346,TO:0000137,TO:0000207,TO:0000227,TO:0000557	PO:0025025,PO:0025007,PO:0020147,PO:0009049,PO:0025082,PO:0009025,PO:0025034,PO:0009047,PO:0025029
Na	Na	GR:0060075	beaked lemma2,BEAKED LEMMA 2,bd2, beaked lemma 2, beaked lemma-2,BD2	GO:0007275	TO:0000079	PO:0009037,PO:0009038
Na	Na	GR:0060077	Bf,Brown furrows of hull,穎縦筋褐色,BROWN FURROWS OF HULL,BF	GO:0043473	TO:0000264,TO:0000287,TO:0000056	PO:0009039,PO:0009047,PO:0025029,PO:0009088
Na	Na	GR:0060079	BHA, Black hull-1,BLACK HULL A, Bh1,Black hull-a, Bha,Bha(Bh1),穎黒色a	GO:0043473	TO:0000264,TO:0000190	PO:0009039,PO:0009088
Na	Na	GR:0060080	Black hull-b,BHB, Bhb, Bh2, Black hull-2,BLACK HULL B,穎黒色b,Bhb(Bh2)	GO:0043473	TO:0000190,TO:0000264	PO:0009039,PO:0009088
Na	Na	GR:0060086	bl5, brown leaf spot-5,BL5,褐斑葉5,brown leaf spot5, brown leaf spot 5,BROWN LEAF SPOT 5	GO:0015996	TO:0000326,TO:0000069,TO:0000063	PO:0009025,PO:0025034
Na	Na	GR:0060087	 brown leaf spot-6, brown leaf spot 6,褐斑葉6,BROWN LEAF SPOT 6,bl6,BL6,brown leaf spot6	GO:0015996	TO:0000069,TO:0000326,TO:0000063	PO:0009025,PO:0025034
Na	Na	GR:0060093	bph5,BPH5, brown planthopper resistance-5,brown planthopper resistance 5,BROWN PLANTHOPPER RESISTANCE 5,トビイロウンカ抵抗性5	GO:0009625	TO:0000424	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Os04g0431700	LOC_Os04g35210.1	GR:0060094	トビイロウンカ抵抗性6,Bph6,BROWN PLANTHOPPER RESISTANCE 6,BPH6, Brown planthopper resistance-6,brown planthopper resistance 6	GO:0000145,GO:0080036,GO:0009625,GO:0009736,GO:0009867,GO:0009863,GO:0045921	TO:0000424,TO:0000205	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060095	BROWN PLANTHOPPER RESISTANCE 7,BPH7, brown planthopper resistance-7,bph7,トビイロウンカ抵抗性7,brown planthopper resistance 7	GO:0009625	TO:0000424	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060096	BROWN PLANTHOPPER RESISTANCE 8,bph8,brown planthopper resistance 8, brown planthopper resistance-8,BPH8,トビイロウンカ抵抗性8	GO:0009625	TO:0000424	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060097	brown planthopper resistance 9,トビイロウンカ抵抗性9,Bph9,BROWN PLANTHOPPER RESISTANCE 9, Brown planthopper resistance-9,BPH9, BPH9/26	GO:0009625,GO:0009863,GO:0009867,GO:0043531	TO:0000424,TO:0000172	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060103	 Bsv, Bs,黒すじ萎縮病抵抗性,BSV,Bsv(Bs),Black streaked dwarf resistance,BLACK STREAKED DWARF RESISTANCE	GO:0009615	TO:0000020	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060105	bentazon susceptibility,BENTAZON SUSCEPTIBILITY,ベンタゾン感受性, bol,bzs,BZS	GO:0009635	TO:0000058	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060116	 Ce1,Cercospora resistance,CE,Ce,CERCOSPORA RESISTANCE,すじ葉枯病抵抗性, Cercospora resistance-2, Ce2, Cercospora resistance-1	GO:0009620	TO:0000422	PO:0009025,PO:0025034
Na	Na	GR:0060117	CIGER SHAPED PANICLE, cg,cg*,CG,ciger shaped panicle	GO:0007275,GO:0009826	TO:0000576,TO:0000146,TO:0000391,TO:0000089	PO:0009010,PO:0025496,PO:0020003,PO:0009009,PO:0009088,PO:0009047,PO:0025029,PO:0009049,PO:0025082
Na	Na	GR:0060130	CHLOROSIS CAUSED BY LOW TEMPERATURE 2,chlorosis caused by low temperature2,CHS2, chs2, chlorosis caused by low temperature 2, chlorosis caused by low temperature-2,chs2-B, chs2-C,chs2(t)*	GO:0015994,GO:0015995,GO:0009409	TO:0000299,TO:0000432,TO:0000495	PO:0009025,PO:0025034
Na	Na	GR:0060131	CHS3,chs3(t)*, chlorosis caused by low temperature 3,CHLOROSIS CAUSED BY LOW TEMPERATURE 3, chs3,chlorosis caused by low temperature3, chlorosis caused by low temperature-3	GO:0015995,GO:0009409,GO:0015994	TO:0000495,TO:0000432,TO:0000299	PO:0009025,PO:0025034
Na	Na	GR:0060132	 chlorosis caused by low temperature 4, chs4, chlorosis caused by low temperature-4,chs4(t)*,chlorosis caused by low temperature4,CHLOROSIS CAUSED BY LOW TEMPERATURE 4,CHS4	GO:0015994,GO:0009409,GO:0015995	TO:0000432,TO:0000495,TO:0000299	PO:0009025,PO:0025034
Os04g0493400	LOC_Os04g41620.1	GR:0060136	 Cht4, Chitinase-4, Chitinase IIb, OsChia2b,CHITINASE 4,Cht4(t)*(Chi4), PR-3 CLASS IV CHITINASE,Chitinase4,CHT4, CHIT2, OsCHIT2, OsPR3, PR3, Chitinase 4, Chitinase-4(novel type), Chi-4, Pathogenesis related (PR)-3 chitinase 4, Chi4	GO:0004568,GO:0006032,GO:0006952,GO:0008061,GO:0051707,GO:0016023,GO:0016998	Na	Na
Na	Na	GR:0060140	cross-incompatibility carried by T65wx,cim, Cim,CIM, cim,cinm*,CROSS-INCOMPATIBILITY REACTIONS IN THE MALE, CINM, cinm	GO:0009856,GO:0009566	TO:0000035	PO:0009082
Na	Na	GR:0060142	 club-shaped embryo 1,cle1-1, cle1-2, cle1-3, cle1-4, cle1-5, club-shaped embryo-1,CLE1, cle1,club-shaped embryo1,CLUB-SHAPED EMBRYO 1,cle*	GO:0009887,GO:0009888	TO:0000064	PO:0009009,PO:0000003,PO:0007631
Na	Na	GR:0060143	CLW,曲玉穎,clw,claw shaped spikelet,CLAW SHAPED SPIKELET	GO:0007275	TO:0000079	PO:0009082,PO:0009037,PO:0009038
Na	Na	GR:0060170	 cnx 1, molybden cofactor 1,molybden cofactor1,CNX1, cnx1,COFACTOR FOR NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE  1, molybdenum cofactor for nitrate reductase-1,cnx1*, cofactor for nitrate reductase and xanthine dehydrogenase 1	GO:0006777,GO:0016163,GO:0016612	Na	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060171	 molybdenum cofactor for nitrate reductase-2, cnx 2, cofactor for nitrate reductase and xanthine dehydrogenase 2,COFACTOR FOR NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE  2,cnx2*,CNX2, molybden cofactor 2,molybden cofactor2, cnx2	GO:0006777,GO:0016163,GO:0016612	Na	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060172	 molybden cofactor 3, molybdenum cofactor for nitrate reductase-3, cnx3,CNX3, cofactor for nitrate reductase and xanthine dehydrogenase 3,molybden cofactor3,COFACTOR FOR NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE  3,cnx3*, cnx 3	GO:0006777,GO:0016163,GO:0016612	Na	PO:0009006,PO:0025007,PO:0009013,PO:0009011,PO:0009025,PO:0025034
Na	Na	GR:0060174	密粒不稔,COMPACT PANICLE STERILE,cps,compact panicle sterile,CPS	GO:0009888,GO:0009887	TO:0000436,TO:0000485,TO:0000079	PO:0009082,PO:0009062,PO:0025023,PO:0009030,PO:0009046,PO:0009066,PO:0025007,PO:0009029,PO:0020003,PO:0009008,PO:0020020,PO:0025279,PO:0020021,PO:0020006,PO:0009036,PO:0009037,PO:0009038
Na	Na	GR:0060177	 Ctb1, Cold tolerance at booting stage-1,Cold tolerance at the booting stage,COLD TOLERANCE AT THE BOOTING STAGE, Ctb,CTB,Ctb*	GO:0009409	TO:0000303	PO:0000003,PO:0005679,PO:0009011
Na	Na	GR:0060178	 Cold tolerance at seedling stage 1,幼苗期低温耐性1, Cold tolerance at seedling stage-1,Cts1,CTS1,COLD TOLERANCE AT SEEDLING STAGE 1,Cold tolerance at seedling stage1	GO:0009409	TO:0000303	PO:0000003,PO:0005679,PO:0009011
Na	Na	GR:0060179	COLD TOLERANCE AT SEEDLING STAGE 2,幼苗期低温耐性2,Cold tolerance at seedling stage2,Cts2(t), Cold tolerance at seedling stage-2,CTS2, Cts2, Cold tolerance at seedling stage 2	GO:0009409	TO:0000303	PO:0009025,PO:0025034
Os02g0477700	LOC_Os02g27620.2, LOC_Os02g27620.1	GR:0060194	DWARF YUKARA DWARF OR FUKEI 71,yukara dwarf or fukei 71 dwarf, d50, d12, DMT9, DWARF50,D12,ユーカラ矮性, dwf11,d12(d50), dwarf-12,F71(d50)(japonica), d12, d32, DMT9(japonica), d32, F71	GO:0009826,GO:0009266,GO:0009832	TO:0000145,TO:0000207,TO:0000432,TO:0000303,TO:0000068,TO:0000576,TO:0000124	PO:0009047,PO:0025029
Na	Na	GR:0060195	d13, dwarf-13,D13,短粒型矮性, dwf12,DWARF SHORT GRAINED,short grained dwarf	GO:0007275	TO:0000040,TO:0000207,TO:0000342,TO:0000576,TO:0000391,TO:0000089	PO:0009010,PO:0025496,PO:0020003,PO:0009009,PO:0009088,PO:0009047,PO:0025029,PO:0009049,PO:0025082
Os04g0550600	LOC_Os04g46470.1	GR:0060197,GR:0080027	 D17/HTD1, catotenoid dioxygenase 7, htd1, HTD1, dwf14, High-Tillering Dwarf1, High-Tillering Dwarf 1,d17(t),d17, d17-1, d17-2, ccd7, ccd7c1, ccd7c2, ccd7c3, ccd7c4, ccd7c5, ccd7c6, ccd7c7, ccd7c8, ccd7c9, ccd7c10, OsCCD7, MAX3 ortholog, dwarf-17,DWARF SLENDER DWARF, TILLERING,多分げつ型,slender dwarf,D17, high-tillering dwarf 1, carotenoid-cleaving dioxygenase 7, d17, tillering dwarf, OsD17, carotenoid cleavage dioxygenase 7, CCD7, high-tillering dwarf1	GO:0010223,GO:0007275,GO:0016702,GO:0016121,GO:0009733,GO:0009507,GO:0009735,GO:0046872,GO:0045549	TO:0000167,TO:0000180,TO:0000089,TO:0000370,TO:0000576,TO:0000346,TO:0000207,TO:0000492,TO:0000152,TO:0000011,TO:0000163	PO:0004709,PO:0000055,PO:0000232,PO:0005001,PO:0006343,PO:0008039,PO:0006023,PO:0009005,PO:0025004,PO:0025025,PO:0009025,PO:0025034,PO:0009049,PO:0025082,PO:0009047,PO:0025029
Na	Na	GR:0060199	d19(t),上川矮性, dwarf-19, dwf16,DWARF KAMIKAWA,kamikawa dwarf,D19, d19	GO:0007275	TO:0000207,TO:0000089,TO:0000576	PO:0009047,PO:0025029,PO:0009049,PO:0025082
Na	Na	GR:0060202	 d22,jokei 6549 dwarf,上系6549矮性,D22, dwf19,DWARF JOKEI 6549,d22(t), dwarf-22	GO:0007275	TO:0000089,TO:0000207,TO:0000391,TO:0000576	PO:0009010,PO:0025496,PO:0020003,PO:0009009,PO:0009088,PO:0009047,PO:0025029,PO:0009049,PO:0025082
Na	Na	GR:0060203	d23(t), d23,DWARF AH-7,ah-7矮性, dwf20, dwarf-23,D23,ah-7 dwarf	GO:0007275	TO:0000576,TO:0000132,TO:0000207,TO:0000339	PO:0005005,PO:0009047,PO:0025029
Na	Na	GR:0060204	D24, d24,m-7 矮性,m-7 dwarf,DWARF M-7,d24(t), dwarf-24, dwf21	GO:0007275	TO:0000361,TO:0000207,TO:0000132,TO:0000391,TO:0000576	PO:0005005,PO:0009047,PO:0025029
Os06g0570100	LOC_Os06g37364.3, LOC_Os06g37364.2, LOC_Os06g37364.1	GR:0060213	 d35(t), dwf30,DWARF TANGINBOZU,d35, Os KO2, OSKO2, cytochrome P450 701A6, KO2, ent-kaurene oxidase2, CYP701A6,短銀坊主,D35, OsKOL2, OsKOL2/CYP701A,osko2-1, osko2-2, ko2, ko2-1, ko2-2(d35), d35Tan-Ginboze, dwarf-35, Tan-Ginbozu,tanginbozu dwarf, CYP701A, KOL2, OsKO2, KO	GO:0020037,GO:0016705,GO:0004497,GO:0009686,GO:0009055,GO:0016023,GO:0010241,GO:0032940,GO:0022900	TO:0000207	PO:0009047,PO:0025029,PO:0009049,PO:0025082,PO:0020122,PO:0025029,PO:0009049,PO:0020039,PO:0025396,PO:0025034,PO:0020038,PO:0020104,PO:0020104
Na	Na	Na	レイメイ,D49,reimei dwarf,DWARF REIMEI,d49(t)	GO:0007275	TO:0000207	Na
Na	Na	GR:0060224	dwarf (DM107-4), dwarf-59,d59(t),D59,DWARF DM107-4,DM107-4矮性, dwf40, d59	GO:0007275	TO:0000207,TO:0000068,TO:0000576	PO:0009047,PO:0025029
Na	Na	GR:0060228	 Dhl3, Dominant lethal-a,Dominant lethal,DOMINANT LETHAL, D1,雑種弱勢,Da(D1), Dominant hybrid lethal-3,DA, Da	GO:0009653,GO:0009790	TO:0000042,TO:0000355	PO:0009046
Na	Na	GR:0060229	 Db,Db(D2),Dominant lethal-b,DB, Dhl4,雑種弱勢, D2, Dominant hybrid lethal-4,DWARFBAMBOO SHOOT 1	GO:0009790,GO:0009653	TO:0000042,TO:0000355	PO:0009046
Na	Na	GR:0060231	ヂアフォラーゼ1,DIAPHORASE 1,DIA1, Dia1,Dia1-1(t), Dia1-2(t), Diaphorase 1, Diaphorase-1,Diaphorase1,Dia1(t)*	GO:0003959,GO:0004148	Na	Na
Na	Na	GR:0060232	ヂアフォラーゼ2,Dia2-1(t), Dia2-2(t),Dia2(t)*,Diaphorase2, Dia2, Diaphorase-2,DIA2,DIAPHORASE 2, Diaphorase 2	GO:0004148,GO:0003959	Na	Na
Na	Na	GR:0060236	DENSE PANICLE 2, Dense panicle-2,Dense panicle2, Dense panicle 2,Dn2,DN2,密穂2	GO:0007275	TO:0000089,TO:0000576,TO:0000339,TO:0000484	PO:0009010,PO:0025496,PO:0020003,PO:0009009,PO:0009088,PO:0009047,PO:0025029,PO:0009049,PO:0025082
Na	Na	GR:0060237	dn3,dense panicle3, dense panicle-3, dense panicle 3,DENSE PANICLE 3,秋晴密穂,DN3	GO:0007275	TO:0000040,TO:0000089,TO:0000052,TO:0000079,TO:0000142	PO:0009037,PO:0009038,PO:0009039,PO:0009049,PO:0025082
Na	Na	GR:0060249	DS1, desynapsis 1,デシナプシス不稔1,DESYNAPSIS 1, desynapsis-1,desynapsis1,ds1	GO:0007135	Na	Na
Na	Na	GR:0060258	DS10, ds10,デシナプシス不稔10,ds10(t), desynapsis 10, desynapsis-10,desynapsis10,DESYNAPSIS 10	GO:0007135	Na	Na
Na	Na	GR:0060259	desynapsis11,デシナプシス不稔11,DS11,DESYNAPSIS 11, desynapsis-11,ds11(t), desynapsis 11, ds11	GO:0007135	Na	Na
Na	Na	GR:0060250	DS2,デシナプシス不稔2, ds2,DESYNAPSIS 2, desynapsis-2,desynapsis2, desynapsis 2,ds2(t)	GO:0007135	Na	Na
Na	Na	GR:0060252	 ds4, desynapsis 4,desynapsis4,ds4(t),デシナプシス不稔4,DS4,DESYNAPSIS 4, desynapsis-4	GO:0007135	Na	Na
Na	Na	GR:0060253	desynapsis5,DESYNAPSIS 5,ds5(t), desynapsis 5, desynapsis-5,DS5, ds5,デシナプシス不稔5	GO:0007135	Na	Na
Na	Na	GR:0060254	 ds6,デシナプシス不稔6,desynapsis6, desynapsis 6, desynapsis-6,ds6(t),DS6,DESYNAPSIS 6	GO:0007135	Na	Na
Na	Na	GR:0060255	ds7(t), desynapsis-7, desynapsis 7,デシナプシス不稔7, ds7,desynapsis7,DS7,DESYNAPSIS 7	GO:0007135	Na	Na
Na	Na	GR:0060256	 desynapsis-8,DS8,デシナプシス不稔8, ds8,DESYNAPSIS 8, desynapsis 8,ds8(t),desynapsis8	GO:0007135	Na	Na
Na	Na	GR:0060257	 desynapsis 9,デシナプシス不稔9, ds9, desynapsis-9,DS9,ds9(t),DESYNAPSIS 9,desynapsis9	GO:0007135	Na	Na
Na	Na	GR:0060262	dull endosperm2,du2, dull endosperm 2,du2-2, du-2,曇り胚乳（低アミロース）2,DU2,DULL ENDOSPERM 2, dull endosperm-2	GO:0005976,GO:0009568	TO:0000105,TO:0000196	PO:0009089
Os02g0612300	LOC_Os02g39890.2, LOC_Os02g39890.1	GR:0060263	DULL ENDOSPERM 3, cap-binding protein 20,曇り胚乳（低アミロース）3, CBP20, dull endosperm 3, dull 3,DU3,dull endosperm3,du3, dull endosperm-3, OsCBP20, OsCBP20/du3	GO:0005846,GO:0045292,GO:0031053,GO:0000166,GO:0009737,GO:0009651,GO:0009568,GO:0009408,GO:0006970,GO:0006370,GO:0005976,GO:0005634,GO:0005737,GO:0000394,GO:0000339	TO:0000615,TO:0000432,TO:0000105,TO:0000429,TO:0000196,TO:0000095	PO:0009089
Na	Na	GR:0060265	 dull endosperm-5,dull endosperm5,曇り胚乳（低アミロース）5,DU5,du5,DULL ENDOSPERM 5, dull endosperm 5	GO:0009568,GO:0005976	TO:0000196,TO:0000105	PO:0009089
Os04g0461800	LOC_Os04g38810.1	GR:0060273	 FH2, FH2 domain protein 2, formin homology 2, FH2 protein 2,DEEP WATER TOLERANCE 2, OsFH2, Formin-like protein 2, dw2,浮稲性2,DW2, forming family protein 2,deep water tolerance2,dw2(fh2), fh2, deep water tolerance-2	GO:0016023,GO:0016021,GO:0009413,GO:0016020,GO:0003779,GO:0030036	TO:0000103,TO:0000170	PO:0000003,PO:0005679
Na	Na	GR:0060274	DEEP WATER TOLERANCE 3,dw3, deep water tolerance 3,浮稲性3,DW3,deep water tolerance3, deep water tolerance-3	GO:0009413	TO:0000103,TO:0000170	PO:0000003,PO:0005679
Na	Na	GR:0060276	 Heading date-2, Heading date 2,E2,Heading date2,出穂性2,HEADING DATE 2	GO:0009648,GO:0003700	TO:0000137	PO:0009049,PO:0025082
Na	Na	GR:0060279	EF2, ef2, ef2(t) (lf1), late heading-2,EARLINESS 2, lf1,ef2 (=lf-1),late heading2, late heading 2	GO:0009648,GO:0003700	TO:0000137	PO:0009049,PO:0025082
Na	Na	GR:0060280	EF3, late heading-3,late heading3, late heading 3, ef3,EARLINESS 3,ef3(t)	GO:0003700,GO:0009648	TO:0000137	PO:0009049,PO:0025082
Na	Na	GR:0060281	 ef4(t), late heading-4,EF4, late heading 4,late heading4,EARLINESS 4,ef4	GO:0009648,GO:0003700	TO:0000137	PO:0009049,PO:0025082
Na	Na	GR:0060289	FLOATING HABIT,EL, Floating habit (elongation ability),El*,Floating habit, El	GO:0009685,GO:0009413	TO:0000145,TO:0000103,TO:0000170	PO:0000003,PO:0005679,PO:0005005,PO:0009011
Na	Na	Na	EML1,eml1,embryoless1,EMBRYOLESS 1	GO:0009790,GO:0009653,GO:0009266	Na	Na
Na	Na	GR:0060292	 eml1, embryoless-1,EML1,eml1*,embryoless1, embryoless 1,EMBRYOLESS 1	GO:0009888,GO:0009887	TO:0000432,TO:0000064	PO:0009009,PO:0000003,PO:0007631
